problem,x_1,x_2,x_3,x_4,x_5,x_6,x_7,p_1,p_2,p_3,p_4,p_5,p_6,p_7,OLC,SLC,ln_payout_magn,ln_num_states,involves_loss,ln_variance
280,66,64,34,21,13,-5,,.2,.40000001,.2,.050000001,.050000001,.1,,9.305107063475262,11.8976250541791,3.550574782736756,1.945910149055313,1,6.37085938652669
281,37,14,,,,,,.94999999,.050000001,,,,,,3.031956469274767,3.760890768563603,3.277144732992177,1.09861228866811,0,3.262988962242944
282,19,-13,-17,,,,,.1,.44999999,.44999999,,,,,5.723469013570272,7.541967243494232,2.852631429913318,1.386294361119891,1,4.688039700923382
283,31,10,,,,,,.89999998,.1,,,,,,3.311755123607332,4.058119605102017,3.068052935133617,1.09861228866811,0,3.705982831306668
284,63,55,35,34,25,2,,.40000001,.40000001,.050000001,.050000001,.050000001,.050000001,,7.468776384877133,9.221938742146456,3.601868077124307,1.945910149055313,0,5.501666140981356
285,2,-6,-19,-21,-42,-52,-53,.050000001,.1,.25,.1,.1,.25,.15000001,8.893798933627746,11.51575080651026,3.362357548345892,2.079441541679836,1,5.87675488899928
286,-3,-8,-11,-19,-22,,,.23,.30000001,.22,.23999999,.0099999998,,,5.143661944191892,7.141905320830586,2.610069792742006,1.791759469228055,1,3.540550511786687
